Row,KOI_ID,Label,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
968,6677841.0,1.0,5739.0,4.433,0.06,0.996,0.98
969,6677841.0,1.0,5671.0,4.128,0.14,1.442,1.0170000000000001
971,6531491.0,0.0,5209.0,4.4460000000000015,0.56,0.953,0.925
972,6383821.0,1.0,4769.0,4.622,0.12,0.7140000000000001,0.799
973,10538176.0,1.0,4989.0,4.585,0.3,0.7909999999999999,0.878
974,10724369.0,1.0,6119.0,4.46,-0.3,0.9670000000000001,0.982
975,6541920.0,1.0,4843.0,4.562,0.04,0.754,0.755
976,10867062.0,0.0,5923.0,4.445,0.08,1.021,1.0590000000000002
977,10744335.0,1.0,3526.0,4.8660000000000005,-0.08,0.38299999999999995,0.39399999999999996
978,4860678.0,0.0,3526.0,4.8660000000000005,-0.08,0.38299999999999995,0.39399999999999996
979,5177104.0,1.0,5761.0,4.091,0.06,1.518,1.036
980,7023960.0,0.0,4260.0,4.663,-0.44,0.58,0.565
981,10033279.0,0.0,5316.0,4.477,0.0,0.872,0.8340000000000001
982,5009189.0,0.0,7021.0,4.275,0.21,1.485,1.514
983,8230616.0,1.0,6084.0,4.542,-0.44,0.863,0.9440000000000001
984,9836959.0,0.0,5764.0,4.548,-0.12,0.863,0.9590000000000001
985,9838949.0,1.0,6371.0,4.426,-0.18,1.072,1.117
986,9895006.0,1.0,4141.0,4.684,-0.2,0.5820000000000001,0.596
987,9896558.0,1.0,4141.0,4.684,-0.2,0.5820000000000001,0.596
988,9589323.0,1.0,4976.0,3.3310000000000004,-0.04,4.157,1.3519999999999999
989,9823487.0,0.0,4441.0,4.71,-0.98,0.53,0.526
990,9602514.0,0.0,5291.0,4.489,0.14,0.882,0.875
991,9726659.0,1.0,4769.0,4.622,0.12,0.7140000000000001,0.799
992,12108312.0,0.0,4769.0,4.622,0.12,0.7140000000000001,0.799
993,5371776.0,1.0,4769.0,4.622,0.12,0.7140000000000001,0.799
994,5371776.0,1.0,5986.0,4.527,-0.5,0.85,0.8859999999999999
995,5371776.0,1.0,5986.0,4.527,-0.5,0.85,0.8859999999999999
996,9573539.0,1.0,3526.0,4.8660000000000005,-0.08,0.38299999999999995,0.39399999999999996
997,5371776.0,1.0,5066.0,3.974,0.22,1.659,0.945
998,9886661.0,1.0,4838.0,4.625,-0.04,0.701,0.778
999,5477805.0,0.0,5632.0,4.282,0.14,1.176,0.965
1000,10055126.0,1.0,5618.0,4.46,-0.22,0.897,0.846
1001,10055126.0,1.0,6366.0,4.045,-0.2,1.6969999999999998,1.1640000000000001
1002,5009743.0,1.0,6366.0,4.045,-0.2,1.6969999999999998,1.1640000000000001
1003,10015937.0,0.0,6781.0,4.422,-0.58,1.067,1.097
1005,7950644.0,1.0,6022.0,4.453,0.12,1.0390000000000001,1.1159999999999999
1006,10080248.0,1.0,5936.0,4.501,0.07,0.965,1.075
1007,10213902.0,1.0,5291.0,4.489,0.14,0.882,0.875
1008,9842906.0,0.0,5949.0,4.493,0.0,0.9620000000000001,1.05
1009,11821363.0,0.0,5657.0,4.364,0.0,1.046,0.9209999999999999
1010,7629518.0,1.0,5490.0,4.263,0.14,1.167,0.9109999999999999
1011,10810838.0,1.0,5999.0,4.494,-0.06,0.9590000000000001,1.045
1012,4828341.0,0.0,5557.0,4.037,0.16,1.6159999999999999,1.035
1013,10019763.0,0.0,6201.0,4.472,-0.2,0.9890000000000001,1.058
1014,9899280.0,0.0,6014.0,4.4860000000000015,0.07,0.993,1.101
1015,8046659.0,0.0,5754.0,3.639,-0.56,2.758,1.209
1016,4940438.0,0.0,5956.0,4.324,0.06,1.17,1.053
1017,5308663.0,0.0,4198.0,4.689,-0.32,0.574,0.5870000000000001
1018,5474733.0,0.0,5868.0,4.363,-0.22,1.042,0.915
1019,10963065.0,1.0,4929.0,4.481,0.36,0.861,0.8170000000000001
1020,6268648.0,1.0,5610.0,4.316,0.38,1.171,1.034
1021,10125352.0,0.0,6127.0,4.356,-0.3,1.08,0.9640000000000001
1022,5357901.0,1.0,5155.0,4.523,0.14,0.836,0.8490000000000001
1023,4278221.0,1.0,5180.0,4.597,0.0,0.769,0.86
1024,10214162.0,1.0,4951.0,3.876,0.1,1.8430000000000002,0.9309999999999999
1025,10905746.0,1.0,5258.0,4.458,-0.04,0.873,0.797
1026,8242434.0,1.0,5717.0,4.564,-0.22,0.826,0.917
1027,6185331.0,1.0,4723.0,4.628,0.02,0.691,0.76
1028,11820830.0,0.0,4723.0,4.628,0.02,0.691,0.76
1029,11774387.0,0.0,4723.0,4.628,0.02,0.691,0.76
1030,9636135.0,1.0,5632.0,4.5539999999999985,-0.04,0.853,0.9520000000000001
1031,9636135.0,0.0,4723.0,4.628,0.02,0.691,0.76
1032,7841925.0,1.0,5430.0,4.555,0.18,0.858,0.961
1033,7841925.0,0.0,6116.0,4.158,-0.26,1.383,1.005
1034,7841925.0,0.0,5903.0,4.3,-0.1,1.156,0.9740000000000001
1035,5219234.0,1.0,5903.0,4.3,-0.1,1.156,0.9740000000000001
1036,5219234.0,1.0,5997.0,4.466,-0.14,0.971,1.004
1037,5219234.0,1.0,5243.0,4.547,0.14,0.831,0.887
1038,5219234.0,1.0,5339.0,4.096,0.2,1.433,0.9329999999999999
1039,12504988.0,0.0,5803.0,4.134,-0.18,1.3730000000000002,0.937
1040,9015738.0,1.0,5822.0,4.557,-0.28,0.8370000000000001,0.92
1041,7215603.0,1.0,6108.0,4.471,-0.08,0.997,1.072
1042,4276716.0,0.0,6418.0,4.395,0.07,1.171,1.2409999999999999
1043,5561278.0,1.0,4723.0,4.557,0.08,0.747,0.7340000000000001
1044,7287683.0,0.0,5900.0,4.5,-0.1,0.929,0.995
1045,6387542.0,1.0,4802.0,4.582,-0.22,0.701,0.6859999999999999
1046,8266276.0,0.0,5921.0,4.484,-0.3,0.912,0.9229999999999999
1047,6869184.0,1.0,6132.0,4.479,-0.3,0.9470000000000001,0.98
1048,8396405.0,0.0,4489.0,4.662,-0.4,0.609,0.621
1049,10799735.0,0.0,5654.0,4.387,-0.1,0.998,0.8859999999999999
1050,6604328.0,1.0,5931.0,4.479,-0.6,0.866,0.825
1051,9719634.0,0.0,5997.0,4.522,-0.22,0.904,0.991
1052,7439316.0,1.0,5975.0,4.453,-0.3,0.9490000000000001,0.935
1053,12061238.0,0.0,6139.0,4.291,-0.18,1.194,1.016
1054,8323753.0,0.0,6099.0,4.1930000000000005,-0.3,1.308,0.9740000000000001
1055,12400538.0,1.0,6378.0,3.878,-0.56,2.002,1.104
1056,5184584.0,1.0,5167.0,4.527,0.24,0.848,0.883
1057,5636648.0,0.0,5992.0,4.385,0.18,1.125,1.122
1058,5564247.0,0.0,6018.0,4.46,-0.2,0.9690000000000001,0.986
1059,5438099.0,1.0,3609.0,4.843,-0.06,0.42200000000000004,0.452
1060,5438099.0,1.0,4827.0,4.615,0.14,0.7290000000000001,0.8170000000000001
1061,6543893.0,1.0,5774.0,4.567,-0.3,0.818,0.907
1062,6543893.0,0.0,7238.0,4.221,0.0,1.568,1.4909999999999999
1063,6975129.0,1.0,5776.0,4.527,-0.08,0.889,0.97
1064,11391018.0,1.0,6213.0,4.387,0.36,1.195,1.27
1065,8685497.0,1.0,6213.0,4.387,0.36,1.195,1.27
1066,4365645.0,1.0,5440.0,4.438,-0.24,0.885,0.782
1067,7199906.0,0.0,5440.0,4.438,-0.24,0.885,0.782
1068,8197343.0,1.0,5440.0,4.438,-0.24,0.885,0.782
1069,7032421.0,0.0,5103.0,4.562,0.04,0.787,0.823
1070,6786348.0,1.0,5103.0,4.562,0.04,0.787,0.823
1071,6209677.0,1.0,5103.0,4.562,0.04,0.787,0.823
1072,9641018.0,0.0,5103.0,4.562,0.04,0.787,0.823
1073,9813499.0,1.0,6197.0,4.449,-0.08,1.035,1.0959999999999999
1074,12254792.0,1.0,6026.0,4.3210000000000015,0.1,1.207,1.113
1075,12020218.0,1.0,6250.0,4.184,0.32,1.5430000000000001,1.3259999999999998
1076,7690844.0,1.0,4830.0,4.605,-0.34,0.6759999999999999,0.6709999999999999
1077,9535080.0,0.0,6065.0,3.97,0.0,1.8769999999999998,1.197
1078,5438099.0,1.0,7732.0,4.075,0.07,2.022,1.774
1079,5438099.0,1.0,5662.0,4.532,-0.44,0.8059999999999999,0.8079999999999999
1080,5210475.0,0.0,4748.0,4.526,0.3,0.797,0.7759999999999999
1081,8009350.0,1.0,5654.0,4.59,-0.38,0.774,0.865
1082,8082001.0,1.0,5214.0,4.673,-1.46,0.5870000000000001,0.591
1083,9017682.0,0.0,6147.0,4.463,-0.12,1.003,1.064
1084,9277896.0,1.0,6090.0,4.447,0.21,1.071,1.173
1085,9401997.0,1.0,5185.0,4.442,0.18,0.9109999999999999,0.8370000000000001
1086,10686864.0,1.0,4831.0,4.5680000000000005,-0.14,0.7240000000000001,0.706
1087,10749128.0,0.0,5198.0,4.6,-0.1,0.759,0.843
1088,11904734.0,0.0,6093.0,3.737,-0.12,2.623,1.3719999999999999
1089,8043714.0,0.0,5604.0,4.4510000000000005,0.0,0.943,0.9159999999999999
1090,7918217.0,0.0,5919.0,4.485,0.21,1.0,1.114
1091,10153011.0,0.0,5791.0,4.549,-0.18,0.856,0.946
1092,9631995.0,1.0,5394.0,4.622,-0.4,0.72,0.805
1093,11870545.0,0.0,4955.0,4.61,-0.1,0.721,0.774
1094,7901948.0,1.0,4955.0,4.61,-0.1,0.721,0.774
1095,11955499.0,0.0,6068.0,4.04,0.16,1.797,1.294
1096,6442377.0,1.0,6068.0,4.04,0.16,1.797,1.294
1097,9784222.0,0.0,6243.0,4.4060000000000015,0.21,1.149,1.226
